chr start end name
chr1 9293068 9296068 tss_131
chr1 9352268 9355068 tss_132
chr1 9488468 9489668 tss_133
chr1 9599268 9601268 tss_134
chr1 9648268 9650268 tss_135
chr1 9711268 9714868 tss_136
chr1 9747068 9749868 tss_137
chr1 9881668 9884668 tss_138
chr1 9969068 9971668 tss_139
chr1 10002268 10004268 tss_140
chr1 10057268 10057668 tss_141
chr1 10092268 10095668 tss_142
chr1 10269668 10272868 tss_143
chr1 10457268 10463668 tss_144
chr1 10489868 10491668 tss_145
chr1 10531668 10533668 tss_146
chr1 10534468 10536068 tss_147
chr1 10753668 10755468 tss_148
chr1 10853868 10855868 tss_149
chr1 10856268 10856868 tss_150
chr1 11071468 11074068 tss_151
chr1 11118668 11121268 tss_152
chr1 11158868 11160468 tss_153
chr1 11321668 11323668 tss_154
chr1 11333268 11334268 tss_155
chr1 11538868 11539868 tss_156
chr1 11712868 11715468 tss_157
chr1 11723868 11725068 tss_158
chr1 11740268 11742068 tss_159
chr1 11750268 11752668 tss_160
chr1 11795868 11798868 tss_161
chr1 11861268 11864268 tss_162
chr1 11864468 11867868 tss_163
chr1 11967668 11970268 tss_164
chr1 11984468 11987068 tss_165
chr1 11993868 11995468 tss_166
chr1 12039468 12041868 tss_167
chr1 12078868 12080668 tss_168
chr1 12122868 12126468 tss_169
chr1 12226668 12229468 tss_170
chr1 12289868 12291668 tss_171
chr1 12404868 12405468 tss_172
chr1 12654868 12656668 tss_173
chr1 12674668 12680268 tss_174
chr1 13838112 13840712 tss_175
chr1 13910112 13911512 tss_176
chr1 13911912 13912312 tss_177
chr1 14026112 14030112 tss_178
chr1 14056712 14058112 tss_179
chr1 14075112 14077512 tss_180
chr1 14925112 14926512 tss_181
chr1 15250312 15252312 tss_182
chr1 15271912 15272712 tss_183
chr1 15477912 15481312 tss_184
chr1 15573512 15574112 tss_185
chr1 15735912 15739712 tss_186
chr1 15849512 15854712 tss_187
chr1 15910312 15911912 tss_188
chr1 15929512 15930512 tss_189
chr1 15942912 15945912 tss_190
chr1 16010312 16011912 tss_191
chr1 16084512 16088112 tss_192
chr1 16158512 16163312 tss_193
chr1 16163512 16164512 tss_194
chr1 16172712 16177512 tss_195
chr1 16278912 16279712 tss_196
chr1 16301312 16303112 tss_197
chr1 16330712 16331112 tss_198
chr1 16339112 16340112 tss_199
chr1 16375112 16375512 tss_200
chr1 16399912 16400312 tss_201
chr1 16479112 16483112 tss_202
chr1 16532312 16534312 tss_203
chr1 16542712 16544312 tss_204
chr1 16562512 16564312 tss_205
chr1 16677512 16679712 tss_206
chr1 16693312 16695512 tss_207
chr1 16766712 16768312 tss_208
chr1 16824912 16826512 tss_209
chr1 16839512 16841912 tss_210
chr1 16847112 16847512 tss_211
chr1 16860512 16862712 tss_212
chr1 16938312 16940712 tss_213
chr1 16969312 16973312 tss_214
chr1 17027312 17027912 tss_215
chr1 17033912 17034512 tss_216
chr1 17198512 17200312 tss_217
chr1 17215312 17216312 tss_218
chr1 17221512 17223712 tss_219
chr1 17230112 17232112 tss_220
chr1 17239912 17241512 tss_221
chr1 17248112 17248512 tss_222
chr1 17305512 17307712 tss_223
chr1 17337512 17338712 tss_224
chr1 17379512 17381112 tss_225
chr1 17559112 17560312 tss_226
chr1 17763512 17767912 tss_227
chr1 17866112 17867512 tss_228
chr1 17906712 17908712 tss_229
chr1 17944512 17945912 tss_230
chr1 18807112 18807512 tss_231
chr1 19227112 19230112 tss_232
chr1 19280312 19283912 tss_233
chr1 19407512 19408112 tss_234
chr1 19534912 19538312 tss_235
chr1 19576912 19579912 tss_236
chr1 19637512 19639912 tss_237
chr1 19810112 19813312 tss_238
chr1 19922712 19924712 tss_239
chr1 19970112 19972312 tss_240
chr1 20125512 20127112 tss_241
chr1 20208512 20210112 tss_242
chr1 20511912 20513912 tss_243
chr1 20810112 20813712 tss_244
chr1 20833712 20835112 tss_245
chr1 20878112 20879512 tss_246
chr1 20915512 20917312 tss_247
chr1 20959712 20961112 tss_248
chr1 20986912 20988912 tss_249
chr1 21044112 21044712 tss_250
chr1 21056912 21059912 tss_251
chr1 21111312 21115112 tss_252
chr1 21500712 21503912 tss_253
chr1 21604512 21606112 tss_254
chr1 21615912 21617512 tss_255
chr1 21620912 21621712 tss_256
chr1 21671112 21673312 tss_257
chr1 21766312 21767712 tss_258
chr1 21835912 21837112 tss_259
chr1 21994712 21996912 tss_260
chr1 22105912 22111312 tss_261
chr1 22350712 22353512 tss_262
chr1 22378712 22380912 tss_263
chr1 22777912 22779512 tss_264
chr1 23036912 23037312 tss_265
chr1 23037712 23038712 tss_266
chr1 23345312 23347912 tss_267
chr1 23493512 23496112 tss_268
chr1 23503712 23504712 tss_269
chr1 23542512 23544112 tss_270
chr1 23667912 23671912 tss_271
chr1 23693112 23697912 tss_272
chr1 23750112 23751712 tss_273
chr1 23809512 23811312 tss_274
chr1 23854712 23858512 tss_275
chr1 23880512 23882112 tss_276
chr1 23883112 23886912 tss_277
chr1 23907712 23908512 tss_278
chr1 24017912 24020512 tss_279
chr1 24069112 24071712 tss_280
chr1 24103312 24106112 tss_281
chr1 24116912 24118512 tss_282
chr1 24125912 24128112 tss_283
chr1 24150912 24152512 tss_284
chr1 24164912 24165712 tss_285
chr1 24193512 24195512 tss_286
chr1 24284912 24288312 tss_287
chr1 24304712 24307512 tss_288
chr1 24433712 24435712 tss_289
chr1 24437312 24438912 tss_290
chr1 24513112 24514512 tss_291
chr1 24645912 24647112 tss_292
chr1 24648512 24649512 tss_293
chr1 24739312 24740712 tss_294
chr1 24741312 24744112 tss_295
chr1 24828112 24830312 tss_296
chr1 24882112 24882912 tss_297
chr1 24968112 24971112 tss_298
chr1 25071112 25075512 tss_299
chr1 25174312 25175312 tss_300
chr1 25252312 25257312 tss_301
chr1 25287912 25291912 tss_302
chr1 25558312 25560112 tss_303
chr1 25572512 25574912 tss_304
chr1 25598712 25599512 tss_305
chr1 25663112 25666312 tss_306
chr1 25755512 25759512 tss_307
chr1 25869712 25871312 tss_308
chr1 25942712 25943712 tss_309
chr1 25944112 25944512 tss_310
chr1 26126112 26127512 tss_311
chr1 26145112 26148112 tss_312
chr1 26184712 26186912 tss_313
chr1 26200912 26202512 tss_314
chr1 26218712 26219312 tss_315
chr1 26230512 26233312 tss_316
chr1 26249112 26250112 tss_317
chr1 26315512 26317712 tss_318
chr1 26323512 26325112 tss_319
chr1 26348312 26348712 tss_320
chr1 26393712 26394112 tss_321
chr1 26436912 26440512 tss_322
chr1 26488112 26488912 tss_323
chr1 26490712 26491512 tss_324
chr1 26496112 26497312 tss_325
chr1 26551512 26552512 tss_326
chr1 26559912 26562912 tss_327
chr1 26605712 26607912 tss_328
chr1 26632112 26633912 tss_329
chr1 26644112 26646312 tss_330
chr1 26662512 26663312 tss_331
chr1 26686512 26686912 tss_332
chr1 26735712 26739912 tss_333
chr1 26758112 26759712 tss_334
chr1 26797712 26800712 tss_335
chr1 26826512 26828512 tss_336
chr1 26855712 26858712 tss_337
chr1 26868712 26870312 tss_338
chr1 26872112 26873512 tss_339
chr1 26946112 26948712 tss_340
chr1 27018512 27020512 tss_341
chr1 27020912 27026112 tss_342
chr1 27113512 27116112 tss_343
chr1 27152512 27154512 tss_344
chr1 27188912 27192712 tss_345
chr1 27215712 27217312 tss_346
chr1 27225912 27227712 tss_347
chr1 27237512 27240912 tss_348
chr1 27247712 27249712 tss_349
chr1 27285912 27287712 tss_350
chr1 27316912 27324912 tss_351
chr1 27337112 27340312 tss_352
chr1 27478912 27482112 tss_353
chr1 27560712 27562712 tss_354
chr1 27648312 27649912 tss_355
chr1 27668312 27670512 tss_356
chr1 27675912 27676512 tss_357
chr1 27677512 27678112 tss_358
chr1 27691912 27693712 tss_359
chr1 27718312 27719712 tss_360
chr1 27814712 27817512 tss_361
chr1 27852112 27855112 tss_362
chr1 27901512 27902712 tss_363
chr1 27927712 27931112 tss_364
chr1 27951312 27953112 tss_365
chr1 27958112 27962312 tss_366
chr1 27985512 27987112 tss_367
chr1 27995712 27996112 tss_368
chr1 28051712 28053512 tss_369
chr1 28098712 28101112 tss_370
chr1 28156512 28158912 tss_371
chr1 28198712 28202112 tss_372
chr1 28240312 28241712 tss_373
chr1 28261312 28262112 tss_374
chr1 28285912 28287112 tss_375
chr1 28413512 28415712 tss_376
chr1 28500312 28503312 tss_377
chr1 28558512 28559912 tss_378
chr1 28561912 28564112 tss_379
chr1 28572512 28575112 tss_380
chr1 28585312 28588312 tss_381
chr1 28654512 28656512 tss_382
chr1 28695512 28697712 tss_383
chr1 28831512 28837512 tss_384
chr1 28844512 28846112 tss_385
chr1 28878912 28880712 tss_386
chr1 28905912 28909912 tss_387
chr1 28918112 28920312 tss_388
chr1 28968512 28971312 tss_389
chr1 28974312 28976112 tss_390
chr1 28994512 28996912 tss_391
chr1 29062112 29064912 tss_392
chr1 29213112 29215112 tss_393
chr1 29240512 29242312 tss_394
chr1 29447912 29451912 tss_395
chr1 29506312 29509512 tss_396
chr1 29556512 29557912 tss_397
chr1 29562912 29565312 tss_398
chr1 29586112 29586512 tss_399
chr1 29609912 29610312 tss_400
chr1 31190549 31191350 tss_401
chr1 31191549 31193149 tss_402
chr1 31225949 31230950 tss_403
chr1 31296949 31297550 tss_404
chr1 31535784 31539186 tss_405
chr1 31627184 31628985 tss_406
chr1 31712521 31712921 tss_407
chr1 31768521 31771121 tss_408
chr1 31845121 31846921 tss_409
chr1 31885807 31888207 tss_410
chr1 31971807 31974007 tss_411
chr1 32040445 32044242 tss_412
chr1 32044642 32045042 tss_413
chr1 32109442 32111245 tss_414
chr1 32135442 32136042 tss_415
chr1 32167842 32170845 tss_416
chr1 32180242 32181445 tss_417
chr1 32226227 32226827 tss_418
chr1 32228227 32229627 tss_419
chr1 32253827 32255227 tss_420
chr1 32262227 32264630 tss_421
chr1 32400364 32404564 tss_422
chr1 32478564 32481764 tss_423
chr1 32537764 32539367 tss_424
chr1 32573053 32575254 tss_425
chr1 32644457 32647254 tss_426
chr1 32665654 32668054 tss_427
chr1 32670853 32672057 tss_428
chr1 32686854 32689054 tss_429
chr1 32705253 32707457 tss_430
chr1 32715257 32718454 tss_431
chr1 32756899 32758897 tss_432
chr1 32800097 32802300 tss_433
chr1 32816696 32818100 tss_434
chr1 32827497 32828297 tss_435
chr1 32858697 32861100 tss_436
chr1 32930294 32930694 tss_437
chr1 33004495 33006095 tss_438
chr1 33114449 33118049 tss_439
chr1 33160252 33161452 tss_440
chr1 33167049 33169649 tss_441
chr1 33190251 33190851 tss_442
chr1 33206652 33209051 tss_443
chr1 33219248 33221249 tss_444
chr1 33231248 33232048 tss_445
chr1 33280960 33284960 tss_446
chr1 33336560 33338360 tss_447
chr1 33358759 33359359 tss_448
chr1 33366360 33367560 tss_449
chr1 33427759 33430763 tss_450
chr1 33501030 33502833 tss_451
chr1 33546230 33548430 tss_452
chr1 33646259 33647862 tss_453
chr1 33721059 33721862 tss_454
chr1 33722057 33724462 tss_455
chr1 33812046 33816648 tss_456
chr1 33895246 33896848 tss_457
chr1 33937846 33938851 tss_458
chr1 34630431 34631031 tss_459
chr1 34631829 34633029 tss_460
chr1 35220069 35222269 tss_461
chr1 35246467 35249869 tss_462
chr1 35324268 35325873 tss_463
chr1 35331667 35332273 tss_464
chr1 35449751 35451355 tss_465
chr1 35495951 35497755 tss_466
chr1 35544404 35546005 tss_467
chr1 35656005 35659607 tss_468
chr1 35733631 35736431 tss_469
chr1 36021834 36024430 tss_470
chr1 36038630 36039230 tss_471
chr1 36042830 36043834 tss_472
chr1 36105804 36108406 tss_473
chr1 36173402 36174004 tss_474
chr1 36183404 36185208 tss_475
chr1 36234153 36235958 tss_476
chr1 36273152 36275358 tss_477
chr1 36334753 36336353 tss_478
chr1 36348551 36349758 tss_479
chr1 36395679 36398079 tss_480
chr1 36549477 36550084 tss_481
chr1 36553983 36555588 tss_482
chr1 36614181 36615588 tss_483
chr1 36620783 36624183 tss_484
chr1 36644181 36644581 tss_485
chr1 36688783 36691583 tss_486
chr1 36771671 36773465 tss_487
chr1 36786265 36790271 tss_488
chr1 36850065 36852871 tss_489
chr1 36862664 36864065 tss_490
chr1 36915525 36916926 tss_491
chr1 36928927 36930733 tss_492
chr1 36947133 36948933 tss_493
chr1 37937738 37946135 tss_494
chr1 37979133 37981335 tss_495
chr1 38018933 38020335 tss_496
chr1 38022335 38022935 tss_497
chr1 38154685 38158891 tss_498
chr1 38259423 38261023 tss_499
chr1 38272623 38274829 tss_500
chr1 38324223 38326423 tss_501
chr1 38396150 38398350 tss_502
chr1 38454550 38456350 tss_503
chr1 38468950 38471157 tss_504
chr1 38477750 38480150 tss_505
chr1 38512550 38513150 tss_506
chr1 39324061 39326461 tss_507
chr1 39338060 39339868 tss_508
chr1 39406744 39407752 tss_509
chr1 39456144 39458752 tss_510
chr1 39491152 39493144 tss_511
chr1 39546632 39547624 tss_512
chr1 39569824 39574623 tss_513
chr1 39670224 39672425 tss_514
chr1 39680510 39682701 tss_515
chr1 39873186 39878377 tss_516
chr1 39956986 39957586 tss_517
chr1 39980777 39981981 tss_518
chr1 40024653 40025653 tss_519
chr1 40039652 40042861 tss_520
chr1 40098250 40099450 tss_521
chr1 40101250 40106050 tss_522
chr1 40204325 40205527 tss_523
chr1 40254327 40255334 tss_524
chr1 40347804 40349608 tss_525
chr1 40365604 40368213 tss_526
chr1 40420602 40422804 tss_527
chr1 40504887 40507683 tss_528
chr1 40562481 40563284 tss_529
chr1 40626481 40628692 tss_530
chr1 40722363 40724574 tss_531
chr1 40780174 40781374 tss_532
chr1 40781774 40782974 tss_533
chr1 40810259 40811059 tss_534
chr1 40839052 40841851 tss_535
chr1 40915053 40917261 tss_536
chr1 40942451 40943853 tss_537
chr1 40973942 40975353 tss_538
chr1 40996741 40998753 tss_539
chr1 41119839 41120239 tss_540
chr1 41131041 41132043 tss_541
chr1 41156442 41159042 tss_542
chr1 41174242 41177441 tss_543
chr1 41326346 41328556 tss_544
chr1 41444465 41448265 tss_545
chr1 41706388 41709185 tss_546
chr1 41826518 41827326 tss_547
chr1 41847317 41848918 tss_548
chr1 41950062 41950462 tss_549
chr1 41961462 41962262 tss_550
chr1 42126018 42128817 tss_551
chr1 42381570 42385770 tss_552
chr1 42500369 42502169 tss_553
chr1 42799180 42801984 tss_554
chr1 42845815 42847015 tss_555
chr1 42921411 42923215 tss_556
chr1 42928415 42929423 tss_557
chr1 43123528 43125132 tss_558
chr1 43145930 43150930 tss_559
chr1 43205344 43206144 tss_560
chr1 43230530 43233944 tss_561
chr1 43282014 43284018 tss_562
chr1 43291218 43292818 tss_563
chr1 43311418 43313816 tss_564
chr1 43389425 43390825 tss_565
chr1 43422323 43425528 tss_566
chr1 43636856 43638468 tss_567
chr1 43736007 43736807 tss_568
chr1 43751007 43751625 tss_569
chr1 43766208 43769208 tss_570
chr1 43814009 43815625 tss_571
chr1 43823609 43826018 tss_572
chr1 43831609 43832009 tss_573
chr1 43832209 43835018 tss_574
chr1 43854409 43856613 tss_575
chr1 43918385 43920586 tss_576
chr1 43996388 43998386 tss_577
chr1 44015589 44016187 tss_578
chr1 44114985 44117987 tss_579
chr1 44172016 44174416 tss_580
chr1 44398667 44402867 tss_581
chr1 44411269 44413885 tss_582
chr1 44435280 44436669 tss_583
chr1 44439867 44441871 tss_584
chr1 44444271 44446867 tss_585
chr1 44456671 44457885 tss_586
chr1 44495148 44497566 tss_587
chr1 44513550 44515352 tss_588
chr1 44678257 44679861 tss_589
chr1 44820193 44821613 tss_590
chr1 44870593 44871799 tss_591
chr1 44871813 44872213 tss_592
chr1 45096963 45098767 tss_593
chr1 45139182 45140982 tss_594
chr1 45196163 45197982 tss_595
chr1 45204597 45206799 tss_596
chr1 45240394 45243997 tss_597
chr1 45265191 45268598 tss_598
chr1 45272999 45275414 tss_599
chr1 45279191 45280199 tss_600
chr1 45284795 45286614 tss_601
chr1 45308597 45309397 tss_602
chr1 45451261 45453261 tss_603
chr1 45476059 45480061 tss_604
chr1 45670710 45673110 tss_605
chr1 45768692 45770694 tss_606
chr1 45792255 45794063 tss_607
chr1 45804659 45807263 tss_608
chr1 45955664 45957464 tss_609
chr1 45964484 45967284 tss_610
chr1 45985674 45988874 tss_611
chr1 46015868 46017684 tss_612
chr1 46048684 46051668 tss_613
chr1 46150703 46155309 tss_614
chr1 46215507 46216927 tss_615
chr1 46268391 46270608 tss_616
chr1 46596265 46599673 tss_617
chr1 46648871 46649275 tss_618
chr1 46663275 46664873 tss_619
chr1 46668474 46669867 tss_620
chr1 46712275 46714675 tss_621
chr1 46766667 46771273 tss_622
chr1 46804917 46807717 tss_623
chr1 46859711 46860536 tss_624
chr1 47069198 47070623 tss_625
chr1 47081132 47082936 tss_626
chr1 47133132 47134532 tss_627
chr1 47183536 47185336 tss_628
chr1 47489324 47489724 tss_629
chr1 47644705 47645711 tss_630
chr1 47693311 47698511 tss_631
chr1 47778113 47780688 tss_632
chr1 47798474 47802074 tss_633
chr1 47901876 47904095 tss_634
chr1 48463219 48463627 tss_635
chr1 48687933 48689533 tss_636
chr1 48937211 48938617 tss_637
chr1 49241548 49243748 tss_638
chr1 50798630 50799409 tss_639
chr1 50889611 50890211 tss_640
chr1 51424465 51426686 tss_641
chr1 51432867 51438067 tss_642
chr1 51441457 51446055 tss_643
chr1 51701311 51704253 tss_644
chr1 51982341 51984964 tss_645
chr1 52082537 52084143 tss_646
chr1 52194499 52197701 tss_647
chr1 52340535 52345537 tss_648
chr1 52455846 52456646 tss_649
chr1 52497233 52499849 tss_650
chr1 52519437 52523637 tss_651
chr1 52607096 52609100 tss_652
chr1 52830647 52832670 tss_653
chr1 52868076 52871676 tss_654
chr1 53017178 53020186 tss_655
chr1 53067386 53068986 tss_656
chr1 53162773 53164595 tss_657
chr1 53191573 53193182 tss_658
chr1 53308045 53311245 tss_659
chr1 53386422 53387822 tss_660
chr1 53392422 53394016 tss_661
chr1 53480200 53481600 tss_662
chr1 53527455 53528455 tss_663
chr1 53661786 53663779 tss_664
chr1 53685357 53686963 tss_665
chr1 53703357 53704963 tss_666
chr1 53791167 53794375 tss_667
chr1 53833171 53833988 tss_668
chr1 54202926 54205526 tss_669
chr1 54302484 54304510 tss_670
chr1 54354880 54356287 tss_671
chr1 54408936 54413134 tss_672
chr1 54517280 54520477 tss_673
chr1 54664909 54667309 tss_674
chr1 54801027 54801631 tss_675
chr1 54870643 54873673 tss_676
chr1 54878852 54879252 tss_677
chr1 54953649 54955273 tss_678
chr1 55007361 55008953 tss_679
chr1 55013353 55015360 tss_680
chr1 55181163 55182563 tss_681
chr1 55229260 55230878 tss_682
chr1 55266656 55267260 tss_683
chr1 55349281 55354081 tss_684
chr1 55504572 55507150 tss_685
chr1 55677935 55682137 tss_686
chr1 57041478 57045678 tss_687
chr1 57109863 57112085 tss_688
chr1 57284035 57285635 tss_689
chr1 57320435 57321235 tss_690
chr1 58716016 58716416 tss_691
chr1 59011255 59012862 tss_692
chr1 59040255 59044259 tss_693
chr1 59164505 59166130 tss_694
chr1 59246482 59251500 tss_695
chr1 59280083 59282681 tss_696
chr1 59611929 59612937 tss_697
chr1 59761582 59763358 tss_698
chr1 60279916 60281549 tss_699
chr1 60391956 60392756 tss_700
chr1 61515382 61517371 tss_701
chr1 61518771 61519771 tss_702
chr1 61541798 61544388 tss_703
chr1 61546982 61550598 tss_704
chr1 62189506 62191518 tss_705
chr1 62207334 62209309 tss_706
chr1 62659924 62662124 tss_707
chr1 62783868 62785268 tss_708
chr1 62900919 62905891 tss_709
chr1 63152912 63154736 tss_710
chr1 63249134 63250941 tss_711
chr1 63782675 63783285 tss_712
chr1 63787275 63788282 tss_713
chr1 63789094 63789494 tss_714
chr1 63832686 63834086 tss_715
chr1 63987996 63989989 tss_716
chr1 64058389 64060599 tss_717
chr1 64239008 64241789 tss_718
chr1 64935396 64937989 tss_719
chr1 65210189 65211624 tss_720
chr1 65430793 65432814 tss_721
chr1 65467794 65469394 tss_722
chr1 65531789 65535014 tss_723
chr1 65612794 65615424 tss_724
chr1 65719596 65721796 tss_725
chr1 65731189 65731796 tss_726
chr1 65774796 65775589 tss_727
chr1 65775596 65775996 tss_728
chr1 65885196 65888596 tss_729
chr1 65991196 65994196 tss_730
chr1 66258396 66259396 tss_731
chr1 66458008 66460608 tss_732
chr1 66797208 66802214 tss_733
chr1 66820008 66820608 tss_734
chr1 66998397 67001397 tss_735
chr1 67217789 67218593 tss_736
chr1 67389396 67392016 tss_737
chr1 67394996 67400408 tss_738
chr1 67518189 67520400 tss_739
chr1 67893394 67898196 tss_740
chr1 68149794 68154396 tss_741
chr1 68296193 68299616 tss_742
chr1 68516197 68516597 tss_743
chr1 68517197 68517597 tss_744
chr1 68695594 68698799 tss_745
chr1 68961194 68963400 tss_746
chr1 70670389 70673196 tss_747
chr1 70686196 70688796 tss_748
chr1 70818597 70821196 tss_749
chr1 70875996 70878596 tss_750
chr1 71510396 71513796 tss_751
chr1 71544996 71547796 tss_752
chr1 72746796 72751597 tss_753
chr1 74663189 74664800 tss_754
chr1 75196424 75200394 tss_755
chr1 76081393 76082024 tss_756
chr1 76189196 76193394 tss_757
chr1 76250000 76255996 tss_758
chr1 76540189 76541593 tss_759
chr1 77747589 77749016 tss_760
chr1 78146796 78150024 tss_761
chr1 78223996 78225799 tss_762
chr1 78244996 78246200 tss_763
chr1 78353589 78356397 tss_764
chr1 78442194 78446593 tss_765
chr1 78468208 78475993 tss_766
chr1 78511193 78513024 tss_767
chr1 78956416 78957816 tss_768
chr1 79115194 79117800 tss_769
chr1 79470593 79472597 tss_770
chr1 82265589 82269589 tss_771
chr1 84326194 84326814 tss_772
chr1 84464197 84465224 tss_773
chr1 84542796 84544800 tss_774
chr1 84609993 84612400 tss_775
chr1 84763600 84765208 tss_776
chr1 84767000 84769393 tss_777
chr1 84969993 84973596 tss_778
chr1 85038594 85040796 tss_779
chr1 85153396 85157396 tss_780
chr1 85357994 85359194 tss_781
chr1 85459794 85464594 tss_782
chr1 85513989 85514389 tss_783
chr1 85527389 85528589 tss_784
chr1 85665594 85668024 tss_785
chr1 85724194 85726016 tss_786
chr1 85739793 85743024 tss_787
chr1 85928793 85931993 tss_788
chr1 86041789 86050997 tss_789
chr1 86172596 86174808 tss_790
chr1 86621814 86622989 tss_791
chr1 86848600 86849000 tss_792
chr1 86859993 86862616 tss_793
chr1 86889789 86891394 tss_794
chr1 87169196 87172393 tss_795
chr1 87378194 87382224 tss_796
chr1 87597589 87598014 tss_797
chr1 87617194 87618196 tss_798
chr1 87793396 87798197 tss_799
chr1 87799796 87801596 tss_800
chr1 89148396 89151400 tss_801
chr1 89356000 89359224 tss_802
chr1 89456796 89459600 tss_803
chr1 89487197 89488800 tss_804
chr1 89529794 89531600 tss_805
chr1 89591014 89592016 tss_806
chr1 89663200 89665600 tss_807
chr1 89736000 89739000 tss_808
chr1 89989597 89991396 tss_809
chr1 90097993 90102193 tss_810
chr1 90228389 90229196 tss_811
chr1 90285796 90289396 tss_812
chr1 90308200 90310408 tss_813
chr1 90460189 90462208 tss_814
chr1 91315996 91317424 tss_815
chr1 91485824 91488396 tss_816
chr1 91852594 91853414 tss_817
chr1 91869596 91870796 tss_818
chr1 91965794 91968000 tss_819
chr1 92348816 92352424 tss_820
chr1 92371596 92371996 tss_821
chr1 92495200 92496600 tss_822
chr1 92545396 92546624 tss_823
chr1 92763600 92765600 tss_824
